entity,type,year
Windows,PRODUCT,1994
Windows NT,PRODUCT,1994
Macintosh,ORG,1994
The Open Database Connectivity,ORG,1994
Microsoft Windows,ORG,1994
SOFTWARE DEVELOPMENT TOOLS AND COMPUTER,ORG,1994
LANGUAGES,NORP,1994
Software,ORG,1994
Company,ORG,1994
1994,DATE,1994
Company,ORG,1994
Microsoft,ORG,1994
16,DATE,1994
Windows,PRODUCT,1994
Windows NT,PRODUCT,1994
Microsoft Visual Basic(TM,ORG,1994
Windows,PRODUCT,1994
Microsoft Access,ORG,1994
OLE,ORG,1994
Company,ORG,1994
Assembly,ORG,1994
FORTRAN,ORG,1994
MS-DOS,ORG,1994
Windows,PRODUCT,1994
Windows NT,PRODUCT,1994
Company,ORG,1994
Windows,PRODUCT,1994
Windows,PRODUCT,1994
the Microsoft Developer Network,ORG,1994
MSDN,ORG,1994
quarterly,DATE,1994
Microsoft Consumer,ORG,1994
"Personal Tools, Personal Transactions, Family Reference/Information",ORG,1994
the Family Reference/Information and Lifestyle,ORG,1994
Consumer,ORG,1994
the Microsoft Mouse,ORG,1994
the Microsoft BallPoint Mouse,ORG,1994
Company,ORG,1994
Microsoft Works,ORG,1994
Microsoft,ORG,1994
Microsoft Works,ORG,1994
Windows,PRODUCT,1994
MS-DOS,PRODUCT,1994
Macintosh,ORG,1994
Microsoft Works,ORG,1994
Microsoft Works,ORG,1994
one,CARDINAL,1994
Microsoft Works,ORG,1994
OEM,ORG,1994
Microsoft Publisher,ORG,1994
Windows,PRODUCT,1994
12,CARDINAL,1994
Microsoft Money,ORG,1994
1991,DATE,1994
Microsoft Money,ORG,1994
Windows,PRODUCT,1994
7,CARDINAL,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
Macintosh,PRODUCT,1994
Encarta,WORK_OF_ART,1994
9 million,CARDINAL,1994
"26,000",CARDINAL,1994
seven,CARDINAL,1994
one,CARDINAL,1994
Bookshelf,ORG,1994
two,CARDINAL,1994
Microsoft Dinosaurs,ORG,1994
Microsoft Dangerous Creatures,ORG,1994
Microsoft Ancient Lands,ORG,1994
Microsoft,ORG,1994
"19,000",CARDINAL,1994
Microsoft Beethoven,ORG,1994
The Ninth Symphony,ORG,1994
Microsoft,ORG,1994
Stravinsky,PERSON,1994
The Rite of Spring,WORK_OF_ART,1994
Microsoft Mozart:,ORG,1994
Microsoft Multimedia Strauss,ORG,1994
Windows,PRODUCT,1994
Microsoft Musical Instruments,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft Flight Simulator(TM,PRODUCT,1994
1983,DATE,1994
Bruce Artwick Organization Ltd.,ORG,1994
Microsoft Flight Simulator,ORG,1994
MS-DOS,ORG,1994
Macintosh,ORG,1994
Microsoft Golf,ORG,1994
1992,DATE,1994
"Access Software, Inc.",ORG,1994
Windows,PRODUCT,1994
Microsoft Creative Writer,ORG,1994
Microsoft Fine Artist,ORG,1994
Creative Writer,ORG,1994
Fine Artist,ORG,1994
September 1994,DATE,1994
The Company,ORG,1994
first,ORDINAL,1994
Magic School Bus,WORK_OF_ART,1994
Company,ORG,1994
the Microsoft Mouse,ORG,1994
MS-DOS,PRODUCT,1994
Windows,PRODUCT,1994
Microsoft,ORG,1994
Intel,ORG,1994
first,ORDINAL,1994
1983,DATE,1994
Microsoft,ORG,1994
Windows,PRODUCT,1994
1991,DATE,1994
Company,ORG,1994
Microsoft,ORG,1994
Mouse,ORG,1994
The BallPoint Mouse,ORG,1994
August 1994,DATE,1994
Company,ORG,1994
Microsoft,ORG,1994
MICROSOFT PRESS,ORG,1994
1983,DATE,1994
Microsoft Press,ORG,1994
Microsoft,ORG,1994
Microsoft Press,ORG,1994
Company,ORG,1994
Microsoft Press,ORG,1994
"Resources, Inc.",ORG,1994
Company,ORG,1994
the United States,GPE,1994
Microsoft Press,ORG,1994
Microsoft Press,ORG,1994
Microsoft Press,ORG,1994
Microsoft Press,ORG,1994
England,GPE,1994
English,LANGUAGE,1994
the United States,GPE,1994
Canada,GPE,1994
Central and South America,ORG,1994
Asian,NORP,1994
Microsoft Press,ORG,1994
5,CARDINAL,1994
8,CARDINAL,1994
LOCALIZATION,NORP,1994
Microsoft,ORG,1994
France,GPE,1994
French,NORP,1994
French,NORP,1994
the United Kingdom,GPE,1994
British,NORP,1994
Microsoft,ORG,1994
more than 30,CARDINAL,1994
Microsoft,ORG,1994
three,CARDINAL,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
four,CARDINAL,1994
U.S.,GPE,1994
Canada,GPE,1994
Europe,LOC,1994
Company,ORG,1994
Solutions Providers,ORG,1994
Microsoft Consulting Services,ORG,1994
Solutions Providers,ORG,1994
Solutions Providers,ORG,1994
Solutions Providers,ORG,1994
Company,ORG,1994
OEM,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Computer 2000,ORG,1994
Ingram Micro,ORG,1994
Merisel,ORG,1994
Corporate Software,ORG,1994
Egghead Software,ORG,1994
Softmart,ORG,1994
Software Spectrum,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft Select,ORG,1994
Microsoft,ORG,1994
The Microsoft Solutions Providers,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft Solutions Providers,ORG,1994
Microsoft,ORG,1994
The Company's Consulting Services Division,ORG,1994
Company,ORG,1994
Solutions Providers,ORG,1994
6,CARDINAL,1994
9,CARDINAL,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Argentina,GPE,1994
Australia,GPE,1994
Austria,GPE,1994
Belgium,GPE,1994
Brazil,GPE,1994
Canada,GPE,1994
Chile,GPE,1994
Colombia,GPE,1994
the Czech Republic,GPE,1994
Denmark,GPE,1994
Dubai,GPE,1994
Ecuador,GPE,1994
Finland,GPE,1994
France,GPE,1994
Germany,GPE,1994
Greece,GPE,1994
Hong Kong,GPE,1994
Hungary,GPE,1994
India,GPE,1994
Ireland,GPE,1994
Israel,GPE,1994
Italy,GPE,1994
Japan,GPE,1994
Malaysia,GPE,1994
Mexico,GPE,1994
Morocco,GPE,1994
the Netherlands,GPE,1994
New Zealand,GPE,1994
Norway,GPE,1994
People's Republic of China,GPE,1994
Peru,GPE,1994
Poland,GPE,1994
Portugal,GPE,1994
Puerto Rico,GPE,1994
Russia,GPE,1994
Singapore,GPE,1994
South Africa,GPE,1994
South Korea,GPE,1994
Spain,GPE,1994
Sweden,GPE,1994
Switzerland,GPE,1994
Taiwan,GPE,1994
Thailand,GPE,1994
Turkey,GPE,1994
the United Kingdom,GPE,1994
Venezuela,GPE,1994
Company,ORG,1994
OEM,ORG,1994
17,CARDINAL,1994
1994,DATE,1994
OEM CHANNEL  ,PRODUCT,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft Mouse,ORG,1994
BallPoint Mouse,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
one,CARDINAL,1994
AST Research,ORG,1994
DEC,ORG,1994
Dell,ORG,1994
Compaq,ORG,1994
Fujitsu,ORG,1994
Gateway 2000,ORG,1994
IBM,ORG,1994
NEC,ORG,1994
Olivetti,ORG,1994
Packard Bell,ORG,1994
Toshiba,ORG,1994
Unisys,ORG,1994
Zenith,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
1995,DATE,1994
Company,ORG,1994
more than $100 million,MONEY,1994
Microsoft,ORG,1994
Company,ORG,1994
Product Support Services,ORG,1994
U.S.,GPE,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
800,CARDINAL,1994
#,PRODUCT,1994
Microsoft,ORG,1994
24 hours,TIME,1994
7 days,DATE,1994
Microsoft KnowledgeBase,ORG,1994
"over 55,000",CARDINAL,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Prodigy,ORG,1994
Company,ORG,1994
two,CARDINAL,1994
Microsoft TechNet,ORG,1994
Microsoft Developer Network,ORG,1994
Company,ORG,1994
third,ORDINAL,1994
Microsoft Solutions Providers,ORG,1994
Microsoft Solutions Providers,ORG,1994
Authorized Training Centers,ORG,1994
Microsoft,ORG,1994
Authorized Support Centers,ORG,1994
10,CARDINAL,1994
Microsoft,ORG,1994
three,CARDINAL,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Notes to Financial Statements,PRODUCT,1994
13,CARDINAL,1994
1994,DATE,1994
more than 10%,PERCENT,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
third,ORDINAL,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
"fiscal years 1992, 1993",DATE,1994
1994,DATE,1994
Company,ORG,1994
$352 million,MONEY,1994
$470 million,MONEY,1994
$610 million,MONEY,1994
12.8%,PERCENT,1994
12.5%,PERCENT,1994
13.1%,PERCENT,1994
each of those years,DATE,1994
Company,ORG,1994
Lotus Development,ORG,1994
Oracle,ORG,1994
Novell,ORG,1994
Company,ORG,1994
IBM,ORG,1994
Apple Computer,ORG,1994
Sun Microsystems,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Novell,ORG,1994
Company,ORG,1994
Company,ORG,1994
one or,QUANTITY,1994
Outlook: Issues and Risks,WORK_OF_ART,1994
6,CARDINAL,1994
1994,DATE,1994
8,CARDINAL,1994
11,CARDINAL,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
the United States,GPE,1994
Puerto Rico,GPE,1994
Ireland,GPE,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
third,ORDINAL,1994
"June 30, 1994",DATE,1994
Company,ORG,1994
"15,257",CARDINAL,1994
"10,264",CARDINAL,1994
"4,993",CARDINAL,1994
"4,417",CARDINAL,1994
"8,079",CARDINAL,1994
"1,344",CARDINAL,1994
"1,417",CARDINAL,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
9,CARDINAL,1994
12,CARDINAL,1994
2,CARDINAL,1994
Company,ORG,1994
approximately two million square feet,QUANTITY,1994
Redmond,GPE,1994
Washington,GPE,1994
two,CARDINAL,1994
approximately 300 acres,QUANTITY,1994
Company,ORG,1994
"225,000 square foot",QUANTITY,1994
the spring of 1995,DATE,1994
"approximately 675,000 square feet",QUANTITY,1994
the end of calendar 1995,DATE,1994
Company,ORG,1994
Company,ORG,1994
"a 265,000 square foot",QUANTITY,1994
23 acres,QUANTITY,1994
Snohomish County,GPE,1994
Washington,GPE,1994
"45,000 square foot",QUANTITY,1994
Humacao,GPE,1994
Puerto Rico,GPE,1994
Puerto Rican,NORP,1994
April 1990,DATE,1994
an additional 10 years,DATE,1994
Company,ORG,1994
European,NORP,1994
"155,000 square foot",QUANTITY,1994
12 acres,QUANTITY,1994
Dublin,GPE,1994
Ireland,GPE,1994
Ireland,GPE,1994
"25,000 square foot",QUANTITY,1994
Company,ORG,1994
"a 65,000 square foot",QUANTITY,1994
seven acres,QUANTITY,1994
London,GPE,1994
England,GPE,1994
Les Ulis,GPE,1994
France,GPE,1994
Company,ORG,1994
"a 110,000 square foot",QUANTITY,1994
four acres,QUANTITY,1994
Company,ORG,1994
the United States,GPE,1994
3,CARDINAL,1994
Legal Proceedings,ORG,1994
"Apple Computer, Inc.",ORG,1994
"Wang Laboratories,",ORG,1994
Notes to Financial Statements,PRODUCT,1994
15,CARDINAL,1994
1994,DATE,1994
4,CARDINAL,1994
the last quarter of fiscal 1994,DATE,1994
10,CARDINAL,1994
13,CARDINAL,1994
"September 9, 1994",DATE,1994
William H. Gates,PERSON,1994
38,CARDINAL,1994
Board,ORG,1994
Steven A. Ballmer,PERSON,1994
38,CARDINAL,1994
Sales and Support,ORG,1994
Michael J. Maples,PERSON,1994
52,CARDINAL,1994
Roger J. Heinen,PERSON,1994
Jr.,PERSON,1994
43,CARDINAL,1994
Developer Division,ORG,1994
Frank M.,PERSON,1994
Pete,PERSON,1994
Higgins,PERSON,1994
36,CARDINAL,1994
Desktop Applications Division,ORG,1994
Joachim Kempin,PERSON,1994
52,DATE,1994
OEM Sales Division,ORG,1994
Paul A. Maritz,PERSON,1994
39,CARDINAL,1994
Systems Division,ORG,1994
Nathan P. Myhrvold,PERSON,1994
35,CARDINAL,1994
Advanced Technology,ORG,1994
William H. Neukom,PERSON,1994
52,DATE,1994
Corp.,ORG,1994
Jeffrey S. Raikes,PERSON,1994
36,CARDINAL,1994
Microsoft North America,ORG,1994
Bernard P. Vergnes,PERSON,1994
49,CARDINAL,1994
Microsoft,ORG,1994
Microsoft Europe,ORG,1994
James E. Allchin,PERSON,1994
42,CARDINAL,1994
Business Systems Division,ORG,1994
Michael W. Brown,PERSON,1994
48,CARDINAL,1994
Raymond A. Emery,PERSON,1994
52,CARDINAL,1994
Operations,ORG,1994
Richard W. Fade,PERSON,1994
39,CARDINAL,1994
Advanced Technology Sales,ORG,1994
Michel Lacombe,PERSON,1994
43,DATE,1994
Europe,LOC,1994
Jonathan D. Lazarus,PERSON,1994
43,CARDINAL,1994
Robert L. McDowell,PERSON,1994
48,CARDINAL,1994
Strategic Enterprise Services,ORG,1994
Craig J. Mundie,PERSON,1994
45,CARDINAL,1994
Michael R. Murray,PERSON,1994
39,CARDINAL,1994
G. Christopher Peters,PERSON,1994
35,CARDINAL,1994
Office Business Unit,ORG,1994
Richard F. Rashid,PERSON,1994
42,CARDINAL,1994
Darryl E. Rubin,PERSON,1994
40,CARDINAL,1994
Brad A. Silverberg,PERSON,1994
40,CARDINAL,1994
Personal Operating Systems Division,ORG,1994
Rolf B. Skoglund,PERSON,1994
40,CARDINAL,1994
Organization Customer Business Unit,ORG,1994
Europe,LOC,1994
Christopher F. Smith,PERSON,1994
59,CARDINAL,1994
International Operations,ORG,1994
Charles G. V. Stevens,PERSON,1994
37,DATE,1994
Patricia Q. Stonesifer       ,PERSON,1994
38,CARDINAL,1994
Consumer Division,ORG,1994
Deborah N. Willingham,PERSON,1994
38,CARDINAL,1994
Product Support Services,ORG,1994
Gates,PERSON,1994
Company,ORG,1994
the Board,ORG,1994
Company,ORG,1994
1981,DATE,1994
From 1975 to 1981,DATE,1994
Gates,PERSON,1994
Paul Allen,PERSON,1994
Microsoft,ORG,1994
Ballmer,PERSON,1994
Sales and Support,ORG,1994
February 1992,DATE,1994
Systems Software,ORG,1994
1989,DATE,1994
1984,DATE,1994
1989,DATE,1994
Ballmer,PERSON,1994
Systems Software,ORG,1994
Company,ORG,1994
1980,DATE,1994
Ballmer,PERSON,1994
Corporate Staffs,ORG,1994
Maples,PERSON,1994
February 1992,DATE,1994
Applications Software,ORG,1994
1991,DATE,1994
Maples,PERSON,1994
Company,ORG,1994
Applications Software,ORG,1994
1988,DATE,1994
23 years,DATE,1994
International Business Machines Corporation,ORG,1994
IBM,ORG,1994
Maples,PERSON,1994
1986 to 1988,DATE,1994
1986,DATE,1994
11,CARDINAL,1994
14,CARDINAL,1994
Heinen,PERSON,1994
Microsoft,ORG,1994
Developer Division,ORG,1994
January 1993,DATE,1994
the Macintosh Software Division,ORG,1994
"Apple Computer, Inc.",ORG,1994
1990 to 1993,DATE,1994
Prior to 1990,DATE,1994
Heinen,PERSON,1994
Digital Equipment Corporation,ORG,1994
Higgins,PERSON,1994
Desktop Applications Division,ORG,1994
March 1993,DATE,1994
Desktop Applications Division,ORG,1994
1992,DATE,1994
Analysis Business Unit,ORG,1994
since 1991,DATE,1994
Higgins,PERSON,1994
Microsoft,ORG,1994
1983,DATE,1994
the Analysis Business Unit,ORG,1994
Kempin,PERSON,1994
OEM Sales Division,ORG,1994
August 1993,DATE,1994
OEM Sales,ORG,1994
1987,DATE,1994
Kempin,PERSON,1994
Microsoft,ORG,1994
German,NORP,1994
1983,DATE,1994
Maritz,PERSON,1994
Systems Division,ORG,1994
February 1992,DATE,1994
Advanced Operating Systems,ORG,1994
1989,DATE,1994
Maritz,PERSON,1994
Microsoft,ORG,1994
1986,DATE,1994
General Manager for Networks,ORG,1994
XENIX,ORG,1994
Myhrvold,PERSON,1994
Advanced Technology,ORG,1994
July 1993,DATE,1994
Advanced Technology and Business Development,ORG,1994
1989,DATE,1994
Myhrvold,PERSON,1994
Microsoft,ORG,1994
1986,DATE,1994
Special Projects,ORG,1994
Neukom,PERSON,1994
February 1994,DATE,1994
Company,ORG,1994
1985,DATE,1994
Neukom,PERSON,1994
Seattle,GPE,1994
Shidler McBroom Gates & Lucas,ORG,1994
Preston Gates & Ellis,ORG,1994
Company,ORG,1994
Raikes,PERSON,1994
Microsoft North America,ORG,1994
January 1992,DATE,1994
Office Systems,ORG,1994
1990,DATE,1994
Raikes,PERSON,1994
Microsoft,ORG,1994
1981,DATE,1994
the Office Business Unit,ORG,1994
Vergnes,PERSON,1994
Microsoft,ORG,1994
Microsoft Europe,ORG,1994
April 1992,DATE,1994
Europe,LOC,1994
1989,DATE,1994
Vergnes,PERSON,1994
Microsoft,ORG,1994
French,NORP,1994
1983,DATE,1994
Allchin,PERSON,1994
Business Systems Division,ORG,1994
July 1991,DATE,1994
Microsoft,ORG,1994
1991,DATE,1994
Allchin,PERSON,1994
seven years,DATE,1994
"Banyan Systems, Inc.",ORG,1994
Brown,PERSON,1994
August 1994,DATE,1994
April 1993,DATE,1994
February 1990,DATE,1994
Microsoft,ORG,1994
January 1990,DATE,1994
Brown,PERSON,1994
Deloitte & Touche,ORG,1994
Company,ORG,1994
Emery,PERSON,1994
Operations,ORG,1994
April 1993,DATE,1994
Worldwide Manufacturing,ORG,1994
Microsoft,ORG,1994
July 1990,DATE,1994
From 1988 to 1990,DATE,1994
Emery,PERSON,1994
"Prestolite Electric, Inc.",ORG,1994
Fade,PERSON,1994
Advanced Technology Sales,ORG,1994
June 1994,DATE,1994
Far East Region,LOC,1994
August 1992,DATE,1994
Microsoft,ORG,1994
1986,DATE,1994
Far East OEM Sales,ORG,1994
U.S. OEM Sales,ORG,1994
Group Sales Manager,ORG,1994
Microsoft OEM Division,ORG,1994
Lacombe,PERSON,1994
End User Customer Unit,ORG,1994
Europe,LOC,1994
April 1994,DATE,1994
Lacombe,PERSON,1994
Microsoft,ORG,1994
1983,DATE,1994
Company,ORG,1994
French,NORP,1994
1989,DATE,1994
Southern Europe,LOC,1994
May 1991,DATE,1994
Lazarus,PERSON,1994
Strategic Relations,ORG,1994
April 1994,DATE,1994
Systems Marketing,ORG,1994
April 1992,DATE,1994
Lazarus,PERSON,1994
System Software Marketing,ORG,1994
Microsoft,ORG,1994
1986,DATE,1994
Microsoft Systems Journal,ORG,1994
McDowell,PERSON,1994
Microsoft,ORG,1994
Strategic Enterprise Services,ORG,1994
March 1990,DATE,1994
McDowell,PERSON,1994
Microsoft,ORG,1994
Ernst & Young,ORG,1994
National Director of Strategic Business Systems,ORG,1994
From 1983 to 1989,DATE,1994
Arthur Young,ORG,1994
12,CARDINAL,1994
15,CARDINAL,1994
Mundie,PERSON,1994
Advanced Consumer Technology,ORG,1994
July  1993,DATE,1994
Microsoft,ORG,1994
Advanced Consumer Technology,ORG,1994
December 1992,DATE,1994
Mundie,PERSON,1994
Alliant,ORG,1994
Computer Systems Corporation,ORG,1994
"May 25, 1992",DATE,1994
Murray,PERSON,1994
Human Resources and Administration,ORG,1994
December 1991,DATE,1994
Microsoft,ORG,1994
1989,DATE,1994
the Network Business Unit,ORG,1994
Murray,PERSON,1994
Dataline,ORG,1994
Hewlett-Packard,ORG,1994
Convergent Technologies,ORG,1994
Apple Computer,ORG,1994
Peters,PERSON,1994
Office Product Unit,ORG,1994
November 1993,DATE,1994
Word,ORG,1994
Peters,PERSON,1994
Microsoft,ORG,1994
1981,DATE,1994
Rashid,PERSON,1994
July 1994,DATE,1994
Microsoft,ORG,1994
1991,DATE,1994
Rashid,PERSON,1994
Professor of Computer Science,ORG,1994
Carnegie Mellon University,ORG,1994
1979,DATE,1994
Rubin,PERSON,1994
Software Strategy,ORG,1994
February 1990,DATE,1994
Rubin,PERSON,1994
Microsoft,ORG,1994
1986,DATE,1994
the Network Development Division,ORG,1994
Architect,PERSON,1994
Silverberg,PERSON,1994
Microsoft,ORG,1994
August 1990,DATE,1994
Personal Operating Systems Division,ORG,1994
1987,DATE,1994
Microsoft,ORG,1994
Silverberg,PERSON,1994
"Borland International, Inc.",ORG,1994
Skoglund,PERSON,1994
Organization Customer Unit,ORG,1994
Europe,LOC,1994
April 1994,DATE,1994
Skoglund,PERSON,1994
Microsoft,ORG,1994
1985,DATE,1994
Company,ORG,1994
Swedish,NORP,1994
Northern Europe,LOC,1994
May 1991,DATE,1994
Smith,PERSON,1994
International Operations,ORG,1994
July 1990,DATE,1994
1987,DATE,1994
Smith,PERSON,1994
Microsoft,ORG,1994
European Operations,ORG,1994
Stevens,PERSON,1994
Far East,LOC,1994
June 1994,DATE,1994
Stevens,PERSON,1994
Microsoft,ORG,1994
1984,DATE,1994
Stonesifer,PERSON,1994
Consumer Division,ORG,1994
June 1993,DATE,1994
Support,ORG,1994
1992,DATE,1994
Product Support Services,ORG,1994
1991,DATE,1994
Microsoft Canada,ORG,1994
Microsoft Press,ORG,1994
Microsoft,ORG,1994
1988,DATE,1994
Stonesifer,PERSON,1994
Que Corporation,ORG,1994
Willingham,PERSON,1994
Product Support Services,ORG,1994
April 1994,DATE,1994
Microsoft,ORG,1994
1993,DATE,1994
U.S.,GPE,1994
Microsoft,ORG,1994
Willingham,PERSON,1994
IBM,ORG,1994
Worldwide Manufacturing Technical Center,ORG,1994
31,CARDINAL,1995
33,CARDINAL,1995
3,CARDINAL,1995
1,CARDINAL,1995
Microsoft Corporation,ORG,1995
Microsoft,ORG,1995
1975,DATE,1995
