entity,type,year
"Access Software, Inc.",ORG,1994
Microsoft Creative Writer,ORG,1994
Microsoft Fine Artist,ORG,1994
Creative Writer,ORG,1994
Fine Artist,ORG,1994
The Company,ORG,1994
Company,ORG,1994
the Microsoft Mouse,ORG,1994
Microsoft,ORG,1994
Intel,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Mouse,ORG,1994
The BallPoint Mouse,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
MICROSOFT PRESS,ORG,1994
Microsoft Press,ORG,1994
Microsoft,ORG,1994
Microsoft Press,ORG,1994
Company,ORG,1994
Microsoft Press,ORG,1994
"Resources, Inc.",ORG,1994
Company,ORG,1994
Microsoft Press,ORG,1994
Microsoft Press,ORG,1994
Microsoft Press,ORG,1994
Microsoft Press,ORG,1994
Central and South America,ORG,1994
Microsoft Press,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Solutions Providers,ORG,1994
Microsoft Consulting Services,ORG,1994
Solutions Providers,ORG,1994
Solutions Providers,ORG,1994
Solutions Providers,ORG,1994
Company,ORG,1994
OEM,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Computer 2000,ORG,1994
Ingram Micro,ORG,1994
Merisel,ORG,1994
Corporate Software,ORG,1994
Egghead Software,ORG,1994
Softmart,ORG,1994
Software Spectrum,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft Select,ORG,1994
Microsoft,ORG,1994
The Microsoft Solutions Providers,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft Solutions Providers,ORG,1994
Microsoft,ORG,1994
The Company's Consulting Services Division,ORG,1994
Company,ORG,1994
Solutions Providers,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
OEM,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft Mouse,ORG,1994
BallPoint Mouse,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
AST Research,ORG,1994
DEC,ORG,1994
Dell,ORG,1994
Compaq,ORG,1994
Fujitsu,ORG,1994
Gateway 2000,ORG,1994
IBM,ORG,1994
NEC,ORG,1994
Olivetti,ORG,1994
Packard Bell,ORG,1994
Toshiba,ORG,1994
Unisys,ORG,1994
Zenith,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Product Support Services,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Microsoft KnowledgeBase,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Prodigy,ORG,1994
Company,ORG,1994
Microsoft TechNet,ORG,1994
Microsoft Developer Network,ORG,1994
Company,ORG,1994
Microsoft Solutions Providers,ORG,1994
Microsoft Solutions Providers,ORG,1994
Authorized Training Centers,ORG,1994
Microsoft,ORG,1994
Authorized Support Centers,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Lotus Development,ORG,1994
Oracle,ORG,1994
Novell,ORG,1994
Company,ORG,1994
IBM,ORG,1994
Apple Computer,ORG,1994
Sun Microsystems,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Novell,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Company,ORG,1994
Legal Proceedings,ORG,1994
"Apple Computer, Inc.",ORG,1994
"Wang Laboratories,",ORG,1994
Board,ORG,1994
Sales and Support,ORG,1994
Developer Division,ORG,1994
Desktop Applications Division,ORG,1994
OEM Sales Division,ORG,1994
Systems Division,ORG,1994
Advanced Technology,ORG,1994
Corp.,ORG,1994
Microsoft North America,ORG,1994
Microsoft,ORG,1994
Microsoft Europe,ORG,1994
Business Systems Division,ORG,1994
Operations,ORG,1994
Advanced Technology Sales,ORG,1994
Strategic Enterprise Services,ORG,1994
Office Business Unit,ORG,1994
Personal Operating Systems Division,ORG,1994
Organization Customer Business Unit,ORG,1994
International Operations,ORG,1994
Consumer Division,ORG,1994
Product Support Services,ORG,1994
Company,ORG,1994
the Board,ORG,1994
Company,ORG,1994
Microsoft,ORG,1994
Sales and Support,ORG,1994
Systems Software,ORG,1994
Systems Software,ORG,1994
Company,ORG,1994
Corporate Staffs,ORG,1994
Applications Software,ORG,1994
Company,ORG,1994
Applications Software,ORG,1994
International Business Machines Corporation,ORG,1994
IBM,ORG,1994
Microsoft,ORG,1994
Developer Division,ORG,1994
the Macintosh Software Division,ORG,1994
"Apple Computer, Inc.",ORG,1994
Digital Equipment Corporation,ORG,1994
Desktop Applications Division,ORG,1994
Desktop Applications Division,ORG,1994
Analysis Business Unit,ORG,1994
Microsoft,ORG,1994
the Analysis Business Unit,ORG,1994
OEM Sales Division,ORG,1994
OEM Sales,ORG,1994
Microsoft,ORG,1994
Systems Division,ORG,1994
Advanced Operating Systems,ORG,1994
Microsoft,ORG,1994
General Manager for Networks,ORG,1994
XENIX,ORG,1994
Advanced Technology,ORG,1994
Advanced Technology and Business Development,ORG,1994
Microsoft,ORG,1994
Special Projects,ORG,1994
Company,ORG,1994
Shidler McBroom Gates & Lucas,ORG,1994
Preston Gates & Ellis,ORG,1994
Company,ORG,1994
Microsoft North America,ORG,1994
Office Systems,ORG,1994
Microsoft,ORG,1994
the Office Business Unit,ORG,1994
Microsoft,ORG,1994
Microsoft Europe,ORG,1994
Microsoft,ORG,1994
Business Systems Division,ORG,1994
Microsoft,ORG,1994
"Banyan Systems, Inc.",ORG,1994
Microsoft,ORG,1994
Deloitte & Touche,ORG,1994
Company,ORG,1994
Operations,ORG,1994
Worldwide Manufacturing,ORG,1994
Microsoft,ORG,1994
"Prestolite Electric, Inc.",ORG,1994
Advanced Technology Sales,ORG,1994
Microsoft,ORG,1994
Far East OEM Sales,ORG,1994
U.S. OEM Sales,ORG,1994
Group Sales Manager,ORG,1994
Microsoft OEM Division,ORG,1994
End User Customer Unit,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
Strategic Relations,ORG,1994
Systems Marketing,ORG,1994
System Software Marketing,ORG,1994
Microsoft,ORG,1994
Microsoft Systems Journal,ORG,1994
Microsoft,ORG,1994
Strategic Enterprise Services,ORG,1994
Microsoft,ORG,1994
Ernst & Young,ORG,1994
National Director of Strategic Business Systems,ORG,1994
Arthur Young,ORG,1994
Advanced Consumer Technology,ORG,1994
Microsoft,ORG,1994
Advanced Consumer Technology,ORG,1994
Alliant,ORG,1994
Computer Systems Corporation,ORG,1994
Human Resources and Administration,ORG,1994
Microsoft,ORG,1994
the Network Business Unit,ORG,1994
Dataline,ORG,1994
Hewlett-Packard,ORG,1994
Convergent Technologies,ORG,1994
Apple Computer,ORG,1994
Office Product Unit,ORG,1994
Word,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
Professor of Computer Science,ORG,1994
Carnegie Mellon University,ORG,1994
Software Strategy,ORG,1994
Microsoft,ORG,1994
the Network Development Division,ORG,1994
Microsoft,ORG,1994
Personal Operating Systems Division,ORG,1994
Microsoft,ORG,1994
"Borland International, Inc.",ORG,1994
Organization Customer Unit,ORG,1994
Microsoft,ORG,1994
Company,ORG,1994
International Operations,ORG,1994
Microsoft,ORG,1994
European Operations,ORG,1994
Microsoft,ORG,1994
Consumer Division,ORG,1994
Support,ORG,1994
Product Support Services,ORG,1994
Microsoft Canada,ORG,1994
Microsoft Press,ORG,1994
Microsoft,ORG,1994
Que Corporation,ORG,1994
Product Support Services,ORG,1994
Microsoft,ORG,1994
Microsoft,ORG,1994
IBM,ORG,1994
Worldwide Manufacturing Technical Center,ORG,1994
Microsoft Corporation,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Intel,ORG,1995
Apple,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
the Platforms Product Group,ORG,1995
the Applications and Content Product Group,ORG,1995
the Sales and Support Group,ORG,1995
the Operations Group,ORG,1995
The Platforms Product Group,ORG,1995
The Personal Systems Division,ORG,1995
The Business Systems Division,ORG,1995
The Developer Division,ORG,1995
The Consumer Systems Division,ORG,1995
The Applications and Content Product Group,ORG,1995
The Desktop Applications Division,ORG,1995
The Consumer Division,ORG,1995
The MSN Division,ORG,1995
Microsoft Research,ORG,1995
Company,ORG,1995
The Sales and Support Group,ORG,1995
The Sales and Support Group,ORG,1995
OEM,ORG,1995
Other International,ORG,1995
Company,ORG,1995
"Product Support Services, Consulting Services",ORG,1995
Solutions Providers,ORG,1995
The Operations Group,ORG,1995
Microsoft Press,ORG,1995
The Personal Systems Division,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
MS-DOS,ORG,1995
Microsoft,ORG,1995
Intel,ORG,1995
MS-DOS,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
MS-DOS,ORG,1995
Microsoft,ORG,1995
The Business Systems Division,ORG,1995
Microsoft,ORG,1995
BackOffice,ORG,1995
Microsoft,ORG,1995
API,ORG,1995
Intel,ORG,1995
Alpha AXP,ORG,1995
MIPS,ORG,1995
SQL Server,ORG,1995
Microsoft SQL Server,ORG,1995
SQL Server,ORG,1995
Company,ORG,1995
SQL,ORG,1995
the Developer Division,ORG,1995
BackOffice,ORG,1995
the Business Systems Division,ORG,1995
SNA Server,ORG,1995
Microsoft SNA Server,ORG,1995
IBM,ORG,1995
SNA,ORG,1995
Systems Management Server,ORG,1995
Microsoft Systems Management Server,ORG,1995
Systems Management Server,ORG,1995
Microsoft Mail Server,ORG,1995
Microsoft Mail Server,ORG,1995
Macintosh,ORG,1995
Microsoft Mail,ORG,1995
Macintosh,ORG,1995
Microsoft Mail,ORG,1995
AppleTalk,ORG,1995
Macintosh,ORG,1995
Microsoft Mail Remote,ORG,1995
The Developer Division,ORG,1995
Company,ORG,1995
Microsoft Access,ORG,1995
Microsoft,ORG,1995
Microsoft SQL Server,ORG,1995
Microsoft Access,ORG,1995
Microsoft Office,ORG,1995
Microsoft,ORG,1995
xBase,ORG,1995
MS-DOS,ORG,1995
Macintosh,ORG,1995
The Open Database Connectivity,ORG,1995
Microsoft Windows,ORG,1995
Software Development Tools and Computer Languages:,ORG,1995
Company,ORG,1995
Microsoft Visual C++(TM,ORG,1995
Company,ORG,1995
16-,ORG,1995
Microsoft Visual Basic(TM,ORG,1995
Microsoft Access,ORG,1995
OLE,ORG,1995
Company,ORG,1995
FORTRAN,ORG,1995
MS-DOS,ORG,1995
Company,ORG,1995
the Microsoft Developer Network,ORG,1995
MSDN,ORG,1995
The Consumer Systems Division,ORG,1995
Company,ORG,1995
SoftImage,ORG,1995
DESKTOP APPLICATIONS SOFTWARE,ORG,1995
The Desktop Applications Division,ORG,1995
Company,ORG,1995
Company,ORG,1995
Macintosh,ORG,1995
Microsoft Office,ORG,1995
Microsoft,ORG,1995
Microsoft Office,ORG,1995
OLE,ORG,1995
Microsoft Office,ORG,1995
Standard and Professional,ORG,1995
Microsoft Word,ORG,1995
Microsoft Excel,ORG,1995
Microsoft,ORG,1995
The Microsoft Office,ORG,1995
Microsoft Mail,ORG,1995
Macintosh,ORG,1995
The Microsoft Office Professional Edition for Windows,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Microsoft Word,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Macintosh,ORG,1995
Microsoft Word,ORG,1995
Microsoft Excel,ORG,1995
Company,ORG,1995
Microsoft Excel,ORG,1995
Macintosh,ORG,1995
Microsoft Excel,ORG,1995
Microsoft Excel,ORG,1995
Microsoft,ORG,1995
Microsoft PowerPoint,ORG,1995
PowerPoint,ORG,1995
Microsoft,ORG,1995
Microsoft Project,ORG,1995
Macintosh,ORG,1995
The MSN Division,ORG,1995
MSN,ORG,1995
The Microsoft Network,ORG,1995
MSN,ORG,1995
Microsoft Network,ORG,1995
MSN,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
MSN,ORG,1995
MSN,ORG,1995
The Microsoft Network,ORG,1995
LLC,ORG,1995
the Microsoft Online Services Partnership,ORG,1995
Microsoft,ORG,1995
"Tele-Communications, Inc.",ORG,1995
TCI,ORG,1995
The Microsoft Consumer Division,ORG,1995
Entertainment,ORG,1995
Input Devices,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft Dinosaurs,ORG,1995
Automap Road Atlas,ORG,1995
Company,ORG,1995
Microsoft Works,ORG,1995
Microsoft,ORG,1995
Microsoft Works,ORG,1995
Macintosh,ORG,1995
Microsoft Works,ORG,1995
Microsoft Publisher,ORG,1995
Microsoft Creative Writer,ORG,1995
Microsoft Fine Artist,ORG,1995
Creative Writer,ORG,1995
Fine Artist,ORG,1995
Company,ORG,1995
Microsoft Money,ORG,1995
Microsoft Money,ORG,1995
Microsoft Money,ORG,1995
Entertainment: The Company,ORG,1995
Bruce Artwick Organization Ltd.,ORG,1995
MS-DOS,ORG,1995
Macintosh,ORG,1995
Microsoft Golf,ORG,1995
"Access Software, Inc.",ORG,1995
Company,ORG,1995
the Microsoft Mouse,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Mouse,ORG,1995
The BallPoint Mouse,ORG,1995
Company,ORG,1995
MICROSOFT,ORG,1995
Microsoft Press,ORG,1995
Microsoft,ORG,1995
Microsoft Press,ORG,1995
Company,ORG,1995
Microsoft Press,ORG,1995
"Resources, Inc.",ORG,1995
Company,ORG,1995
Microsoft Press,ORG,1995
Microsoft Press,ORG,1995
Microsoft Press,ORG,1995
Microsoft Press,ORG,1995
Central and South America,ORG,1995
Microsoft Press,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Solutions Providers,ORG,1995
Microsoft Consulting Services,ORG,1995
Solutions Providers,ORG,1995
Solutions Providers,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Distributors and Resellers:,ORG,1995
Company,ORG,1995
Computer 2000,ORG,1995
Ingram Micro,ORG,1995
Merisel,ORG,1995
Egghead Software,ORG,1995
Softbank,ORG,1995
Software Spectrum,ORG,1995
Stream International,ORG,1995
Corporate Software,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft Select,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Solutions Providers,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Microsoft Solutions Providers,ORG,1995
Microsoft,ORG,1995
Consulting Services:,ORG,1995
The Company's Consulting Services Division,ORG,1995
Company,ORG,1995
Solutions Providers,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
International Sales Sites:,ORG,1995
Company,ORG,1995
OEM,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft Mouse,ORG,1995
BallPoint Mouse,ORG,1995
Natural Keyboard,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
AST Research,ORG,1995
Acer,ORG,1995
Digital Equipment Corporation,ORG,1995
Dell,ORG,1995
Compaq,ORG,1995
Gateway 2000,ORG,1995
Hewlett-Packard,ORG,1995
IBM,ORG,1995
NEC,ORG,1995
Olivetti,ORG,1995
Packard Bell,ORG,1995
Toshiba,ORG,1995
The Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Company,ORG,1995
The Company's,ORG,1995
Product Support Services,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft KnowledgeBase,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
MSN,ORG,1995
Company,ORG,1995
Microsoft TechNet,ORG,1995
Microsoft Developer Network,ORG,1995
Company,ORG,1995
Microsoft Solutions Providers,ORG,1995
Microsoft Solutions Providers,ORG,1995
Authorized Training Centers,ORG,1995
Microsoft,ORG,1995
Authorized Support Centers,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
IBM,ORG,1995
Apple Computer,ORG,1995
Digital Equipment Corporation,ORG,1995
Microsoft,ORG,1995
IBM,ORG,1995
AT&T,ORG,1995
Hewlett Packard,ORG,1995
Sun Microsystems,ORG,1995
Novell,ORG,1995
The Santa Cruz Operation,ORG,1995
Microsoft,ORG,1995
Novell NetWare,ORG,1995
Lotus,ORG,1995
IBM,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Software,ORG,1995
Oracle,ORG,1995
Sybase,ORG,1995
Informix,ORG,1995
Lotus Development,ORG,1995
IBM,ORG,1995
Company,ORG,1995
Company,ORG,1995
Lotus,ORG,1995
Oracle,ORG,1995
Claris,ORG,1995
Novell,ORG,1995
Microsoft,ORG,1995
MSN,ORG,1995
CompuServe,ORG,1995
H&R Block,ORG,1995
IBM,ORG,1995
Sears,ORG,1995
America Online,ORG,1995
MSN,ORG,1995
the World Wide Web,ORG,1995
Netscape,ORG,1995
Adobe,ORG,1995
Sun Microsystems,ORG,1995
Company,ORG,1995
Sybase,ORG,1995
Borland,ORG,1995
Microsoft,ORG,1995
Consumer,ORG,1995
Intuit,ORG,1995
Broderbund,ORG,1995
Electronic Arts,ORG,1995
The Learning Company,ORG,1995
Davidson Associates,ORG,1995
Comptons,ORG,1995
Edmark,ORG,1995
Sierra,ORG,1995
Dorling Kindersley,ORG,1995
Walt Disney,ORG,1995
Lucas Arts,ORG,1995
Nintendo,ORG,1995
Sega,ORG,1995
The Consumer Division's,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Company,ORG,1995
Microsoft,ORG,1995
Board,ORG,1995
Worldwide Sales and Support,ORG,1995
Pete) Higgins,ORG,1995
Group,ORG,1995
Platforms Group,ORG,1995
Applications and Content Group,ORG,1995
Business Systems Division,ORG,1995
Developer Division,ORG,1995
Worldwide OEM Sales,ORG,1995
Consumer Systems Division,ORG,1995
Personal Systems Division,ORG,1995
Consumer Division,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Board,ORG,1995
Worldwide Sales and Support,ORG,1995
Systems Software,ORG,1995
Systems Software,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
The Procter & Gamble Company,ORG,1995
P&G,ORG,1995
Information Services and Advertising,ORG,1995
Group,ORG,1995
Applications and Content Group,ORG,1995
Desktop Applications Division,ORG,1995
Desktop Applications Division,ORG,1995
Analysis Business Unit,ORG,1995
Microsoft,ORG,1995
Group,ORG,1995
Platforms Group,ORG,1995
Product and Technology Strategy,ORG,1995
Advanced Operating Systems,ORG,1995
Microsoft,ORG,1995
Group,ORG,1995
Applications and Content Group,ORG,1995
Advanced Technology,ORG,1995
Advanced Technology and Business Development,ORG,1995
Microsoft,ORG,1995
Business Systems Division,ORG,1995
Business Systems Division,ORG,1995
Microsoft,ORG,1995
"Banyan Systems, Inc.",ORG,1995
Microsoft,ORG,1995
Developer Division,ORG,1995
the Macintosh Software Division,ORG,1995
"Apple Computer, Inc.",ORG,1995
Digital Equipment Corporation,ORG,1995
Worldwide OEM Sales,ORG,1995
OEM Sales,ORG,1995
Microsoft,ORG,1995
Consumer Systems Division,ORG,1995
Advanced Consumer Technology,ORG,1995
Microsoft,ORG,1995
Advanced Consumer Technology Group,ORG,1995
Alliant Computer Systems Corporation,ORG,1995
Microsoft,ORG,1995
Shidler McBroom Gates & Lucas,ORG,1995
Preston Gates & Ellis,ORG,1995
Microsoft,ORG,1995
Microsoft North America,ORG,1995
Office Systems,ORG,1995
Microsoft,ORG,1995
Personal Systems Division,ORG,1995
Microsoft,ORG,1995
Personal Operating Systems Division,ORG,1995
Microsoft,ORG,1995
"Borland International, Inc.",ORG,1995
Consumer Division,ORG,1995
Consumer Division,ORG,1995
Support,ORG,1995
Product Support Services,ORG,1995
Microsoft Canada,ORG,1995
Microsoft Press,ORG,1995
Microsoft,ORG,1995
Que Corporation,ORG,1995
Microsoft,ORG,1995
Microsoft Europe,ORG,1995
Microsoft,ORG,1995
Microsoft,ORG,1995
Deloitte & Touche,ORG,1995
Microsoft,ORG,1995
Microsoft Corporation,ORG,1996
"the ""Company""",ORG,1996
Microsoft,ORG,1996
Microsoft,ORG,1996
Microsoft,ORG,1996
Intel,ORG,1996
Apple,ORG,1996
Microsoft,ORG,1996
Company,ORG,1996
the Platforms Product Group,ORG,1996
the Applications and Content Product Group,ORG,1996
the Sales and Support Group,ORG,1996
the Operations Group,ORG,1996
The Platforms Product Group,ORG,1996
The Desktop and Business Systems Division,ORG,1996
The Internet Platform and Tools Division,ORG,1996
The Consumer Platforms Division,ORG,1996
The Applications and Content Product Group,ORG,1996
The Desktop Applications Division,ORG,1996
The Interactive Media Division,ORG,1996
The Microsoft Network,ORG,1996
The Input Device Division,ORG,1996
